Time:512Hz,Epoch,sinusOsc 1,sinusOsc 2,sinusOsc 3,sinusOsc 4,Event Id,Event Date,Event Duration
0.0000000000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,
0.0019531250,0,0.1648452752,0.3273640801,0.4852704342,0.6363586276,,,
0.0039062500,0,0.3273640801,0.6363586276,0.9098872246,1.1333109212,,,
0.0058593750,0,0.4852704342,0.9098872246,1.2225847212,1.3894113257,,,
0.0078125000,0,0.6363586276,1.1333109212,1.3894113257,1.3687341120,,,
0.0097656250,0,0.7785415972,1.2954612569,1.3989593819,1.1104797424,,,
0.0117187500,0,0.9098872246,1.3894113257,1.2640846055,0.7179978555,,,
0.0136718750,0,1.0286519228,1.4129511326,1.0198475262,0.3302374016,,,
0.0156250000,0,1.1333109212,1.3687341120,0.7179978555,0.0834505686,,,
0.0175781250,0,1.2225847212,1.2640846055,0.4188611380,0.0736481894,,,
0.0195312500,0,1.2954612569,1.1104797424,0.1818916474,0.3300982460,,,
0.0214843750,0,1.3512133748,0.9227418688,0.0563632157,0.8071323783,,,
0.0234375000,0,1.3894113257,0.7179978555,0.0736481894,1.3965074831,,,
0.0253906250,0,1.4099300505,0.5144778711,0.2422873335,1.9569357977,,,
0.0273437500,0,1.4129511326,0.3302374016,0.5466187881,2.3526913275,,,
0.0292968750,0,1.3989593819,0.1818916474,0.9491798220,2.4907127401,,,
0.0312500000,0,1.3687341120,0.0834505686,1.3965074831,2.3460347303,,,
0.0332031250,0,1.3233352617,0.0453358269,1.8274348289,1.9685784838,,,
0.0351562500,0,1.2640846055,0.0736481894,2.1825907043,1.4694405683,,,
0.0371093750,0,1.1925423807,0.1697364940,2.4136235565,0.9904382474,,,
0.0390625000,0,1.1104797424,0.3300982460,2.4907127401,0.6652579106,,,
0.0410156250,0,1.0198475262,0.5466187881,2.4071974770,0.5828544425,,,
0.0429687500,0,0.9227418688,0.8071323783,2.1806025581,0.7631322311,,,
0.0449218750,0,0.8213672859,1.0962660593,1.8499010769,1.1515722864,,,
0.0468750000,0,0.7179978555,1.3965074831,1.4694405683,1.6342771847,,,
0.0488281250,0,0.6149371862,1.6894222381,1.1004785968,2.0693094508,,,
0.0507812500,0,0.5144778711,1.9569357977,0.8016461565,2.3257332731,,,
0.0527343750,0,0.4188611380,2.1825907043,0.6198242252,2.3196580229,,,
0.0546875000,0,0.3302374016,2.3526913275,0.5828544425,2.0374036140,,,
0.0566406250,0,0.2506284101,2.4572563751,0.6952191857,1.5394371117,,,
0.0585937500,0,0.1818916474,2.4907127401,0.9373637994,0.9439999007,,,
0.0605468750,0,0.1256876153,2.4522823045,1.2687664296,0.3949108210,,,
0.0625000000,1,0.0834505686,2.3460347303,1.6342771847,0.0223674799,,,
0.0644531250,1,0.0563632157,2.1806025581,1.9727391135,-0.0925131326,,,
0.0664062500,1,0.0453358269,1.9685784838,2.2265480668,0.0603015178,,,
0.0683593750,1,0.0509901179,1.7256368435,2.3506622562,0.4172396630,,,
0.0703125000,1,0.0736481894,1.4694405683,2.3196580229,0.8587778323,,,
0.0722656250,1,0.1133267170,1.2184098309,2.1317326245,1.2424256986,,,
0.0742187500,1,0.1697364940,0.9904382474,1.8090303545,1.4420008852,,,
0.0761718750,1,0.2422873335,0.8016461565,1.3942409578,1.3824276050,,,
0.0781250000,1,0.3300982460,0.6652579106,0.9439999007,1.0605198516,,,
0.0800781250,1,0.4320127126,0.5906814649,0.5201181768,0.5460511577,,,
0.0820312500,1,0.5466187881,0.5828544425,0.1800073794,-0.0371841020,,,
0.0839843750,1,0.6722736806,0.6419022723,-0.0322088923,-0.5451290503,,,
0.0859375000,1,0.8071323783,0.7631322311,-0.0925131326,-0.8527917255,,,
0.0878906250,1,0.9491798220,0.9373637994,-0.0006798677,-0.8883645456,,,
0.0898437500,1,1.0962660593,1.1515722864,0.2197443820,-0.6527859701,,,
0.0917968750,1,1.2461437673,1.3898008324,0.5251637004,-0.2193841945,,,
0.0937500000,1,1.3965074831,1.6342771847,0.8587778323,0.2862985568,,,
0.0957031250,1,1.5450338597,1.8666573587,1.1594832542,0.7209708579,,,
0.0976562500,1,1.6894222381,2.0693094508,1.3714435850,0.9628997326,,,
0.0996093750,1,1.8274348289,2.2265480668,1.4528384154,0.9452877596,,,
0.1015625000,1,1.9569357977,2.3257332731,1.3824276050,0.6745718556,,,
0.1035156250,1,2.0759285700,2.3581574258,1.1629083582,0.2286286825,,,
0.1054687500,1,2.1825907043,2.3196580229,0.8205419397,-0.2646211776,,,
0.1074218750,1,2.2753057205,2.2109138297,0.4011079248,-0.6623458227,,,
0.1093750000,1,2.3526913275,2.0374036140,-0.0371841020,-0.8460419110,,,
0.1113281250,1,2.4136235565,1.8090303545,-0.4327215806,-0.7541264530,,,
0.1132812500,1,2.4572563751,1.5394371117,-0.7300489404,-0.3989470030,,,
0.1152343750,1,2.4830364418,1.2450622533,-0.8884716710,0.1364529876,,,
